Atalante	V	ATALENTER
avoir	Vun	AVOIR
que	Rg	QUE
l'	Da	LE
habit	Nc	HABIT
seulement	Rg	SEULEMENT
;	Fw	;
Toutefois	Vvc	Toutefois
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
fait	Ge	FAIRE
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
être	Vun	ÊTRE
à	S	À
la	Da	LE
gêne	Nc	GÊNE
,	Fw	,
Il	Vvc	Il
est	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
finir	Vvn	FINIR
leur	Ds	LEUR
amour	Nc	AMOUR
et	Cc	ET
ma	Ds	MON
peine	Nc	PEINE
.	Fs	.
Ma	Ds	MON
sœur	Nc	sœur
de	S	DE
la	Da	LE
façon	Nc	FAÇON
ruine	Vvc	RUINER
son	Ds	SON
bonheur	Nc	BONHEUR
,	Fw	,
Et	Vvc	Et
croit	Vvc	CROIRE|CROÎTRE
faire	Vvn	FAIRE
son	Ds	SON
bien	Nc	BIEN
faisant	Ga	FAIRE
son	Ds	SON
déshonneur	Nc	DÉSHONNEUR
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
prêt	Ag	PRÊT
du	S+Da	DE+LE
logis	Nc	LOGIS
,	Fw	,
mais	Cc	MAIS
je	Pp	JE
la	Pp	IL
vois	Vvc	ALLER|VOIR
paraître	Vvn	PARAÎTRE
,	Fw	,
Ou	Vvc	Ou
bien	Rg	BIEN
malaisément	Rg	MALAISÉMENT
la	Pp	IL
puis	Vvc	POUVOIR
-je	Vvc	-je
reconnaître	Vvn	RECONNAÎTRE
.	Fs	.
Quoi	Pt	QUE|QUOI
ma	Ds	MON
sœur	Nc	sœur
est	Vuc	ÊTRE
-ce	Vvc	-ce
vous	Pp	VOUS
?	Fs	?
Quel	Dt	QUEL
reste	Nc	RESTE
de	S	DE
plaisir	Nc	PLAISIR
Semble	Vvc	SEMBLER
si	Rg	SI
doucement	Rg	DOUCEMENT
terminer	Vvn	TERMINER
mon	Ds	MON
désir	Nc	DÉSIR
!	Fs	!
Mon	Ds	MON
frère	Nc	FRÈRE
c'	Pd	CE
est	Vuc	ÊTRE
donc	Rg	DONC
vous	Pp	VOUS
?	Fs	?
Quel	Dt	QUEL
bon	Ag	BON
sort	Nc	SORT
vous	Pp	VOUS
envoie	Vvc	ENVOYER
Pour	Nc	POUR
ravir	Vvn	RAVIR
mes	Ds	MON
esprits	Nc	ESPRIT|ESPRITS
d'	S	DE
une	Dn	UN
parfaite	Ag	PARFAIT
joie	Nc	JOIE
?	Fs	?
Cessez	Vvc	CESSER
de	S	DE
me	Pp	JE
surprendre	Vvn	SURPRENDRE
,	Fw	,
et	Cc	ET
de	S	DE
me	Pp	JE
caresser	Vvn	CARESSER
,	Fw	,
Je	Vvc	Je
vous	Pp	VOUS
étoufferais	Vvc	ÉTOUFFER
pensant	Ga	PENSER
vous	Pp	VOUS
embrasser	Vvn	EMBRASSER
.	Fs	.
Quels	Dt	QUEL
habits	Nc	HABIT|HABITS
avez	Vuc	AVOIR
-vous	Nc	-vous
?	Fs	?
Et	Cc	ET
quel	Dt	QUEL
ordre	Nc	ORDRE
de	S	DE
vivre	Vvn	VIVRE
?	Fs	?
Est	Vuc	ÊTRE
-ce	Vvc	-ce
le	Da	LE
vrai	Ag	VRAI
chemin	Nc	CHEMIN
que	Cs	QUE
la	Da	LE
gloire	Nc	GLOIRE
doit	Vvc	DEVOIR
suivre	Vvn	SUIVRE
?	Fs	?
Ah	I	AH
ma	Ds	MON
sœur	Nc	sœur
!	Fs	!
Écoutez	Nc	Écoutez
.	Fs	.
Je	Pp	JE
sais	Vvc	SAVOIR
bien	Rg	BIEN
le	Da	LE
dessein	Nc	DESSEIN
Dont	Vvc	Dont
un	Dn	UN
feu	Nc	FEU
déshonnête	Ag	DÉSHONNÊTE
embrase	Vvc	EMBRASER
votre	Ds	VOTRE
sein	Nc	SEIN
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
m'	Pp	JE
entendez	Vvc	ENTENDRE
pas	Rg	PAS
;	Fw	;
sachez	Vvc	SAVOIR
que	Cs	QUE
Flaminie	Vvc	Flaminie
Conçoit	Vvc	Conçoit
pour	S	POUR
mon	Ds	MON
visage	Nc	VISAGE
une	Dn	UN
ardeur	Nc	ARDEUR
infinie	Ag	INFINI
,	Fw	,
Regardez	Vvc	REGARDER
ce	Dd	CE
jardin	Nc	JARDIN
,	Fw	,
ce	Pd	CE
sera	Vuc	ÊTRE
sur	S	SUR
le	Da	LE
soir	Nc	SOIR
Qu'	Vvc	Qu'
elle	Pp	IL
m'	Pp	JE
y	Pp	Y
doit	Vvc	DEVOIR
attendre	Vvn	ATTENDRE
,	Fw	,
et	Cc	ET
que	Cs	QUE
je	Pp	JE
l'	Pp	IL
y	Pp	Y
dois	Vvc	DEVOIR
voir	Vvn	VOIR
,	Fw	,
Polydas	Vvc	Polydas
est	Vuc	ÊTRE
son	Ds	SON
frère	Nc	FRÈRE
,	Fw	,
elle	Pp	IL
est	Vuc	ÊTRE
riche	Ag	RICHE
,	Fw	,
elle	Pp	IL
est	Vuc	ÊTRE
belle	Ag	BEAU
,	Fw	,
Et	Vvc	Et
crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
la	Pp	IL
voyant	Ga	VOIR
vous	Pp	VOUS
lui	Pp	IL
serez	Vuc	ÊTRE
fidèle	Ag	FIDÈLE
.	Fs	.
Mettez	Vvc	METTRE
-vous	Nc	-vous
dans	S	DANS
ma	Ds	MON
place	Nc	PLACE|PLACÉ
,	Fw	,
et	Cc	ET
fiez	Vvc	FIER
-vous	Nc	-vous
sur	S	SUR
moi	Pp	JE
,	Fw	,
Qu'	Vvc	Qu'
elle	Pp	IL
ne	Rp	NE
peut	Vvc	POUVOIR
manquer	Vvn	MANQUER
de	S	DE
vous	Pp	VOUS
donner	Vvn	DONNER
sa	Ds	SON
foi	Nc	FOI
.	Fs	.
Ma	Ds	MON
sœur	Nc	sœur
si	Cs	SI
tu	Pp	TU
dis	Vvc	DIRE
vrai	Ag	VRAI
,	Fw	,
maintenant	Rg	MAINTENANT
je	Pp	JE
t'	Pp	TU
avoue	Vvc	AVOUER
Que	Vvc	Que
malgré	S	MALGRÉ
ma	Ds	MON
colère	Nc	COLÈRE
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
te	Pp	TU
loue	Vvc	LOUER|LOVER
.	Fs	.
Mais	Cc	MAIS
est-il	Ag	est-il
assuré	Ge	ASSURER
?	Fs	?
Sitôt	Vvc	Sitôt
que	Cs	QUE
le	Da	LE
Soleil	Nc	SOLEIL
...	Fs	...
Tu	Vvc	Tu
me	Pp	JE
l'	Pp	IL
as	Vuc	AVOIR
déjà	Rg	DÉJÀ
dit	Ge	DIRE
;	Fw	;
ô	I	OH
bonheur	Nc	BONHEUR
non	Rg	NON
pareil	Nc	PAREIL
!	Fs	!
Ne	Rp	NE
lui	Pp	IL
répondez	Vvc	RÉPONDRE
point	Rg	POINT
,	Fw	,
autrement	Rg	AUTREMENT
vos	Ds	VOTRE
paroles	Nc	PAROLE
Rendraient	Vvc	RENDRE
en	S	EN
un	Dn	UN
moment	Nc	MOMENT
vos	Ds	VOTRE
attentes	Nc	ATTENTE
frivoles	Ag	FRIVOLE
Elle	Vvc	Elle
connaît	Vvc	CONNAÎTRE
ma	Ds	MON
voix	Nc	VOIX
,	Fw	,
mais	Cc	MAIS
on	Pp	ON
peut	Vvc	POUVOIR
l'	Pp	IL
abuser	Vvn	ABUSER
Si	Vvc	Si
vous	Pp	VOUS
usez	Vvc	USER
du	S+Da	DE+LE
temps	Nc	TEMPS
comme	Cs	COMME
il	Pp	IL
en	Pp	EN
faut	Vvc	FAILLIR|FALLOIR
user	Vvn	USER
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
y	Pp	Y
conduirai	Vvc	CONDUIRE
,	Fw	,
ménagez	Vvc	MÉNAGER
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
Ici	Vvc	Ici
le	Da	LE
jugement	Nc	JUGEMENT
vous	Pp	VOUS
sera	Vuc	ÊTRE
necessaire	Ag	NÉCESSAIRE
.	Fs	.
J'	Pp	JE
y	Pp	Y
vais	Vvc	ALLER
donner	Vvn	DONNER
bon	Ag	BON
ordre	Nc	ORDRE
.	Fs	.
Et	Cc	ET
cependant	Rg	CEPENDANT
ma	Ds	MON
sœur	Nc	sœur
...	Fs	...
Promenez	Vvc	PROMENER
-vous	Nc	-vous
toujours	Rg	TOUJOURS
attendant	Ga	ATTENDRE
ce	Dd	CE
bonheur	Nc	BONHEUR
.	Fs	.
Si	Cs	SI
je	Pp	JE
fais	Vvc	FAIRE
réussir	Vvn	RÉUSSIR
ceci	Pd	CECI
comme	Cs	COMME
j'	Pp	JE
espère	Vvc	ESPÉRER
,	Fw	,
Je	Vvc	Je
suis	Vuc	ÊTRE
riche	Ag	RICHE
à	S	À
ce	Dd	CE
coup	Nc	COUP
,	Fw	,
tout	Rg	TOUT
me	Pp	JE
sera	Vuc	ÊTRE
prospère	Ag	PROSPÈRE
:	Fw	:
Je	Pp	JE
me	Pp	JE
vengerai	Vvc	VENGER
bien	Rg	BIEN
de	S	DE
mes	Ds	MON
travaux	Nc	TRAVAIL|TRAVAUX
soufferts	Ge	SOUFFRIR
,	Fw	,
Et	Vvc	Et
j'	Pp	JE
irai	Vvc	ALLER
dans	S	DANS
le	Da	LE
Ciel	Nc	CIEL
au	S+Da	À+LE
sortir	Vvn	SORTIR
des	Dn	UN
Enfers	Nc	ENFER
.	Fs	.
Si	Cs	SI
tu	Pp	TU
dois	Vvc	DEVOIR
succomber	Vvn	SUCCOMBER
,	Fw	,
quelle	Dt	QUEL
proche	Ag	PROCHE
retraite	Nc	RETRAITE|RETRAITÉ
Pourra	Vvc	POUVOIR
sauver	Vvn	SAUVER
ma	Ds	MON
tête	Nc	TÊTE
après	S	APRÈS
cette	Dd	CE
défaite	Nc	DÉFAITE
?	Fs	?
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
mal	Nc	MAL
nécessaire	Ag	NÉCESSAIRE
,	Fw	,
il	Pp	IL
y	Pp	Y
faut	Vvc	FAILLIR|FALLOIR
consentir	Vvn	CONSENTIR
,	Fw	,
En	Vvc	En
te	Pp	TU
donnant	Ga	DONNER
la	Da	LE
mort	Nc	MORT
,	Fw	,
j'	Pp	JE
en	Pp	EN
ai	Vuc	AVOIR
du	Dp	DU
repentir	Nc	REPENTIR
.	Fs	.
Nous	Pp	NOUS
durons	Vvc	DURER
trop	Rg	TROP
longtemps	Rg	LONGTEMPS
,	Fw	,
finissant	Ga	FINIR
notre	Ds	NOTRE
envie	Nc	ENVIE
Achetons	Vvc	ACHETER
cet	Dd	CE
objet	Nc	OBJET
au	S+Da	À+LE
prix	Nc	PRIX
de	S	DE
notre	Ds	NOTRE
vie	Nc	VIE
.	Fs	.
Ils	Pp	ILS
se	Pp	IL
veulent	Vvc	VOULOIR
battre	Vvn	BATTRE
.	Fs	.
Que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
à	S	À
propos	Nc	PROPOS
!	Fs	!
Vous	Pp	VOUS
.	Fs	.
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
qu'	Cs	QUE
un	Dn	UN
duel	Nc	DUEL
Termine	Vvc	TERMINER
maintenant	Rg	MAINTENANT
un	Dn	UN
mal	Nc	MAL
continuel	Ag	CONTINUEL
.	Fs	.
Non	Rg	NON
,	Fw	,
non	Rg	NON
c'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
souffrir	Vvn	SOUFFRIR
,	Fw	,
Isidore	Vvc	Isidore
est	Vuc	ÊTRE
trop	Rg	TROP
belle	Ag	BEAU
.	Fs	.
Serait	Vuc	ÊTRE
-ce	Vvc	-ce
pour	S	POUR
ma	Ds	MON
sœur	Nc	sœur
que	Pr	QUE
vous	Pp	VOUS
auriez	Vuc	AVOIR
querelle	Nc	QUERELLE
?	Fs	?
Mainalte	Vvc	Mainalte
cher	Ag	CHER
ami	Nc	AMI
.	Fs	.
Tharzinte	Nc	Tharzinte
,	Fw	,
mon	Ds	MON
support	Nc	SUPPORT
,	Fw	,
Est	Vvc	Est
-ce	Vvc	-ce
donc	Rg	DONC
pour	S	POUR
ma	Ds	MON
sœur	Nc	sœur
que	Pr	QUE
tu	Pp	TU
cherches	Vvc	CHERCHER
la	Da	LE
mort	Nc	MORT
?	Fs	?
Ma	Ds	MON
main	Nc	MAIN
pour	S	POUR
cet	Dd	CE
effet	Nc	EFFET
n'	Rp	NE
est	Vuc	ÊTRE
pas	Rg	PAS
mal	Rg	MAL
occupée	Ge	OCCUPER
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
pour	S	POUR
me	Pp	JE
l'	Pp	IL
acquérir	Vvn	ACQUÉRIR
que	Cs	QUE
je	Pp	JE
porte	Vvc	PORTER
l'	Da	LE
épée	Nc	ÉPÉE
.	Fs	.
Tu	Pp	TU
l'	Pp	IL
aimes	Vvc	AIMER
,	Fw	,
je	Pp	JE
le	Pp	IL
sais	Vvc	SAVOIR
,	Fw	,
mais	Cc	MAIS
ta	Ds	TON
fidélité	Nc	FIDÉLITÉ
Qu'	Vvc	Qu'
on	Pp	ON
estimait	Vvc	ESTIMER
jadis	Rg	JADIS
,	Fw	,
cède	Vvc	CÉDER
à	S	À
ta	Ds	TON
lâcheté	Nc	LÂCHETÉ
.	Fs	.
Ah	I	AH
!	Fs	!
c'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
m'	Pp	JE
offenser	Vvn	OFFENSER
,	Fw	,
si	Cs	SI
j'	Pp	JE
étais	Vuc	ÊTRE
insensible	Ag	INSENSIBLE
Je	Nc	Je
pourrais	Vvc	POUVOIR
endurer	Vvn	ENDURER
un	Dn	UN
affront	Nc	AFFRONT
si	Rg	SI
visible	Ag	VISIBLE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
dit	Ge	DIRE
;	Fw	;
j'	Pp	JE
y	Pp	Y
consens	Vvc	CONSENTIR
,	Fw	,
aujourd'hui	Rg	AUJOURD'HUI
le	Da	LE
vainqueur	Nc	VAINQUEUR
Doit	Vvc	DEVOIR
gagner	Vvn	GAGNER
Isidore	Vvc	Isidore
,	Fw	,
et	Cc	ET
posséder	Vvn	POSSÉDER
son	Ds	SON
cœur	Nc	cœur
.	Fs	.
Et	Cc	ET
bien	Rg	BIEN
c'	Pd	CE
est	Vuc	ÊTRE
à	S	À
ce	Dd	CE
coup	Nc	COUP
.	Fs	.
Je	Pp	JE
veux	Vvc	VOULOIR
mal	Rg	MAL
à	S	À
ta	Ds	TON
rage	Nc	RAGE
,	Fw	,
Ce	Vvc	Ce
serait	Vuc	ÊTRE
dans	S	DANS
ton	Ds	TON
sang	Nc	SANG
que	Pr	QUE
tu	Pp	TU
ferais	Vvc	FAIRE|FERRER
naufrage	Nc	NAUFRAGE
,	Fw	,
Écoute	Nc	Écoute
,	Fw	,
faisons	Vvc	FAIRE
mieux	Rg	MIEUX
,	Fw	,
de	S	DE
quoi	Pr	QUE|QUOI
m'	Pp	JE
accuses	Vvc	ACCUSER
-tu	Vvn	-tu
?	Fs	?
Je	Pp	JE
sais	Vvc	SAVOIR
que	Cs	QUE
nous	Pp	NOUS
avons	Vuc	AVOIR
une	Dn	UN
égale	Ag	ÉGAL
vertu	Nc	VERTU
.	Fs	.
Cessons	Vvc	CESSER
notre	Ds	NOTRE
querelle	Nc	QUERELLE
,	Fw	,
et	Cc	ET
si	Cs	SI
tu	Pp	TU
m'	Pp	JE
en	Pp	EN
veux	Vvc	VOULOIR
croire	Vvn	CROIRE
Nous	Vvc	Nous
trouverons	Vvc	TROUVER
ailleurs	Rg	AILLEURS
des	Dn	UN
matières	Nc	MATIÈRE
de	S	DE
gloire	Nc	GLOIRE
.	Fs	.
Cela	Pd	CELA
ne	Rp	NE
suffit	Vvc	SUFFIRE
pas	Rg	PAS
.	Fs	.
Crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
cela	Pd	CELA
suffit	Vvc	SUFFIRE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
par	S	PAR
ce	Dd	CE
moyen	Nc	MOYEN
je	Pp	JE
cherche	Vvc	CHERCHER
ton	Ds	TON
profit	Nc	PROFIT
.	Fs	.
J'	Pp	JE
aime	Vvc	AIMER
plus	Rg	PLUS
un	Dn	UN
ami	Nc	AMI
que	Cs	QUE
toutes	Di	TOUT
les	Da	LE
richesses	Nc	RICHESSE
,	Fw	,
Et	Vvc	Et
pour	S	POUR
en	Pp	EN
avoir	Vun	AVOIR
un	Pi	UN
je	Pp	JE
perdrais	Vvc	PERDRE
cent	Nc	CENT
maîtresses	Nc	MAÎTRE|MAÎTRESSE
.	Fs	.
Je	Pp	JE
te	Pp	TU
donne	Vvc	DONNER
Isidore	Vvc	Isidore
,	Fw	,
et	Cc	ET
je	Pp	JE
perdrai	Vvc	PERDRE
le	Da	LE
jour	Nc	JOUR
Si	Vvc	Si
je	Pp	JE
ne	Rp	NE
la	Pp	IL
contrains	Vvc	CONTRAINDRE
d'	S	DE
approuver	Vvn	APPROUVER
ton	Ds	TON
amour	Nc	AMOUR
.	Fs	.
Tharzinte	Nc	Tharzinte
je	Pp	JE
te	Pp	TU
l'	Pp	IL
offre	Vvc	OFFRIR
,	Fw	,
et	Cc	ET
combien	Rg	COMBIEN
que	Cs	QUE
je	Pp	JE
l'	Pp	IL
aime	Vvc	AIMER
,	Fw	,
Je	Vvc	Je
veux	Vvc	VOULOIR
pour	S	POUR
t'	Pp	TU
assurer	Vvn	ASSURER
me	Pp	JE
combattre	Vvn	COMBATTRE
moi-même	Pp	LUI-MÊME
,	Fw	,
J'	Vvc	J'
ai	Vuc	AVOIR
du	Dp	DU
courage	Nc	COURAGE
assez	Rg	ASSEZ
,	Fw	,
mais	Cc	MAIS
j'	Pp	JE
ai	Vuc	AVOIR
trop	Rg	TROP
d'	S	DE
amitié	Nc	AMITIÉ
Pour	Ag	Pour
te	Pp	TU
considérer	Vvn	CONSIDÉRER
sans	S	SANS
en	Pp	EN
avoir	Vun	AVOIR
pitié	Nc	PITIÉ
.	Fs	.
Adieu	Nc	ADIEU
je	Pp	JE
te	Pp	TU
la	Pp	IL
quitte	Vvc	QUITTER
à	S	À
dessin	Nc	DESSIN
que	Pr	QUE
l'	Pp	IL
on	Pp	ON
sache	Vvc	SAVOIR
Qu'	Vvc	Qu'
une	Dn	UN
telle	Ag	TEL
amitié	Nc	AMITIÉ
ne	Rp	NE
reçoit	Vvc	RECEVOIR
point	Rg	POINT
de	S	DE
tache	Nc	TACHE|TÂCHE
.	Fs	.
Si	Cs	SI
tu	Pp	TU
le	Pp	IL
vois	Vvc	ALLER|VOIR
jamais	Rg	JAMAIS
punis	Ge	PUNIR
sa	Ds	SON
lâcheté	Nc	LÂCHETÉ
,	Fw	,
Médite	Vvc	Médite
son	Ds	SON
trépas	Nc	TRÉPAS
qu'	Pr	QUE
il	Pp	IL
a	Vuc	AVOIR
trop	Rg	TROP
mérité	Ge	MÉRITER
!	Fs	!
Oublions	Vvc	OUBLIER
cet	Dd	CE
infâme	Ag	INFÂME
,	Fw	,
il	Pp	IL
aurait	Vuc	AVOIR
trop	Rg	TROP
de	S	DE
gloire	Nc	GLOIRE
Si	Vvc	Si
son	Ds	SON
nom	Nc	NOM
seulement	Rg	SEULEMENT
restait	Vvc	RESTER
dans	S	DANS
ta	Ds	TON
mémoire	Nc	MÉMOIRE
.	Fs	.
Pour	S	POUR
toi	Pp	TU
que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
toujours	Rg	TOUJOURS
dedans	Rg	DEDANS
mon	Ds	MON
souvenir	Nc	SOUVENIR
,	Fw	,
J'	Vvc	J'
approuve	Vvc	APPROUVER
ton	Ds	TON
amour	Nc	AMOUR
,	Fw	,
mon	Ds	MON
cœur	Nc	cœur
le	Pp	IL
doit	Vvc	DEVOIR
bénir	Vvn	BÉNIR
:	Fw	:
Et	Cc	ET
pour	S	POUR
t'	Pp	TU
en	S	EN
assurer	Vvn	ASSURER
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
t'	Pp	TU
instruise	Vvc	INSTRUIRE
D'	Rg	D'
un	Dn	UN
secret	Nc	SECRET
qui	Pr	QUI
m'	Pp	JE
importe	Vvc	IMPORTER
,	Fw	,
et	Cc	ET
de	S	DE
mon	Ds	MON
entreprise	Nc	ENTREPRISE
Tirons-nous	Vvc	Tirons-nous
à	S	À
l'	Da	LE
écart	Nc	ÉCART
,	Fw	,
je	Pp	JE
te	Pp	TU
promets	Vvc	PROMETTRE
la	Da	LE
foi	Nc	FOI
D'	Ag	D'
obliger	Vvn	OBLIGER
Isidore	Vvc	Isidore
à	S	À
n'	Rp	NE
aimer	Vvn	AIMER
plus	Rg	PLUS
que	Cs	QUE
toi	Pp	TU
.	Fs	.
Quelqu'un	Pi	QUELQU'UN
nous	Pp	NOUS
surprendrait	Vvc	SURPRENDRE
,	Fw	,
ta	Ds	TON
querelle	Nc	QUERELLE
est	Vuc	ÊTRE
connue	Ge	CONNAÎTRE
Et	Vvc	Et
tu	Pp	TU
ne	Rp	NE
devais	Vvc	DEVOIR
pas	Rg	PAS
te	Pp	TU
battre	Vvn	BATTRE
en	S	EN
pleine	Ag	PLEIN
rue	Nc	RUE
.	Fs	.
Enfin	Rg	ENFIN
si	Cs	SI
vous	Pp	VOUS
m'	Pp	JE
aimez	Vvc	AIMER
,	Fw	,
faites	Vvc	FAIRE
-moi	Vvc	-moi
ce	Dd	CE
plaisir	Nc	PLAISIR
,	Fw	,
Ne	Vvc	Ne
me	Pp	JE
refusez	Vvc	REFUSER
pas	Rg	PAS
,	Fw	,
prenez	Vvc	PRENDRE
votre	Ds	VOTRE
loisir	Nc	LOISIR
,	Fw	,
Ce	Vvc	Ce
soir	Nc	SOIR
vous	Pp	VOUS
le	Pp	IL
pouvez	Vvc	POUVOIR
.	Fs	.
Mais	Cc	MAIS
que	Pr	QUE
pourrait	Vvc	POUVOIR
-on	Nc	-on
dire	Vvn	DIRE
?	Fs	?
Ceci	Pd	CECI
donnerait	Vvc	DONNER
bien	Rg	BIEN
des	Dn	UN
matières	Nc	MATIÈRE
de	S	DE
rire	Vvn	RIRE
.	Fs	.
La	Da	LE
Lune	Nc	LUNE
a	Vuc	AVOIR
retardé	Ge	RETARDER
,	Fw	,
tout	Pi	TOUT
fuira	Vvc	FUIR
de	S	DE
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
,	Fw	,
Et	Vvc	Et
le	Da	LE
Ciel	Nc	CIEL
n'	Rp	NE
aura	Vuc	AVOIR
point	Rg	POINT
l'	Da	LE
usage	Nc	USAGE
de	S	DE
ses	Ds	SON
yeux	Nc	OEIL|YEUX
.	Fs	.
Y	Pp	Y
devons-nous	V	DEVOIR
entrer	Vvn	ENTRER
,	Fw	,
parle	Vvc	PARLER
.	Fs	.
Non	Rg	NON
,	Fw	,
ce	Pd	CE
me	Pp	JE
semble	Vvc	SEMBLER
.	Fs	.
Je	Pp	JE
me	Pp	JE
résoudrai	Vvc	RÉSOUDRE
donc	Rg	DONC
à	S	À
les	Pp	ILS
laisser	Vvn	LAISSER
ensemble	Rg	ENSEMBLE
.	Fs	.
Ouï	Vvc	Ouï
je	Pp	JE
vous	Pp	VOUS
le	Pp	IL
promets	Vvc	PROMETTRE
;	Fw	;
si	Cs	SI
la	Da	LE
discrétion	Nc	DISCRÉTION
Entretient	Vvc	ENTRETENIR
votre	Ds	VOTRE
crainte	Nc	CRAINTE
,	Fw	,
et	Cc	ET
votre	Ds	VOTRE
affection	Nc	AFFECTION
.	Fs	.
J'	Pp	JE
en	Pp	EN
jure	Vvc	JURER
par	S	PAR
vos	Ds	VOTRE
yeux	Nc	OEIL|YEUX
,	Fw	,
et	Cc	ET
je	Pp	JE
perdrai	Vvc	PERDRE
la	Da	LE
vie	Nc	VIE
Si	Vvc	Si
tout	Pi	TOUT
ne	Rp	NE
réussit	Vvc	RÉUSSIR
au	S+Da	À+LE
gré	Nc	GRÉ
de	S	DE
votre	Ds	VOTRE
envie	Nc	ENVIE
.	Fs	.
Tenez	Vvc	TENIR
voici	S	VOICI
la	Da	LE
clef	Nc	CLEF
;	Fw	;
venez	Vvc	VENIR
par	S	PAR
le	Da	LE
dehors	Nc	DEHORS
,	Fw	,
Vous	Nc	Vous
y	Pp	Y
pourrez	Vvc	POUVOIR
entrer	Vvn	ENTRER
avecque	Vvc	avecque
moins	Rg	MOINS
d'	S	DE
efforts	Nc	EFFORT
.	Fs	.
Adieu	Nc	ADIEU
ne	Rp	NE
sortez	Vvc	SORTIR
point	Rg	POINT
.	Fs	.
J'	Pp	JE
aurais	Vuc	AVOIR
l'	Da	LE
âme	Nc	ÂME
brutale	Ag	BRUTAL
,	Fw	,
Si	Vvc	Si
vous	Pp	VOUS
m'	Pp	JE
êtes	Vuc	ÊTRE
Procris	Vvc	Procris
je	Pp	JE
vous	Pp	VOUS
serai	Vuc	ÊTRE
Céphale	Ag	Céphale
.	Fs	.
Il	Pp	IL
s'	Pp	SE
en	Pp	EN
va	Vvc	ALLER
.	Fs	.
Toutefois	Rg	TOUTEFOIS
c'	Pd	CE
est	Vuc	ÊTRE
bien	Rg	BIEN
tôt	Rg	TÔT
pour	S	POUR
parler	Vvn	PARLER
de	S	DE
se	Pp	IL
voir	Vvn	VOIR
,	Fw	,
Et	Vvc	Et
surtout	Rg	SURTOUT
sans	S	SANS
conduite	Nc	CONDUITE
,	Fw	,
et	Cc	ET
se	Pp	IL
servir	Vvn	SERVIR
du	S+Da	DE+LE
soir	Nc	SOIR
.	Fs	.
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
le	Pp	IL
contenter	Vvn	CONTENTER
;	Fw	;
en	S	EN
tout	Di	TOUT
cas	Nc	CAS
j'	Pp	JE
ai	Vuc	AVOIR
Sicandre	Nc	Sicandre
Qui	Vvc	Qui
me	Pp	JE
fait	Vvc	FAIRE
assister	Vvn	ASSISTER
,	Fw	,
et	Cc	ET
qui	Pr	QUI
me	Pp	JE
peut	Vvc	POUVOIR
défendre	Vvn	DÉFENDRE
,	Fw	,
Je	Vvc	Je
hasarde	Vvc	HASARDER
beaucoup	Rg	BEAUCOUP
,	Fw	,
mais	Cc	MAIS
n'	Rp	NE
ayant	Ga	AVOIR
plus	Rg	PLUS
de	S	DE
bien	Rg	BIEN
Excepté	Vvc	Excepté
mon	Ds	MON
honneur	Nc	HONNEUR
,	Fw	,
je	Pp	JE
ne	Rp	NE
hasarde	Vvc	HASARDER
rien	Pi	RIEN
.	Fs	.
Polydas	Vvc	Polydas
après	S	APRÈS
avoir	Vun	AVOIR
longtemps	Rg	LONGTEMPS
attendu	Ge	ATTENDRE
,	Fw	,
entend	Vvc	ENTENDRE
du	S+Da	DE+LE
bruit	Nc	BRUIT
et	Cc	ET
s'	Pp	SE
imaginant	Ga	IMAGINER
tenir	Vvn	TENIR
Atalante	Ga	Atalante
,	Fw	,
prend	Vvc	PRENDRE
Mainalte	Vvc	Mainalte
sans	S	SANS
le	Pp	IL
connaître	Vvn	CONNAÎTRE
,	Fw	,
qui	Pr	QUI
croit	Vvc	CROIRE|CROÎTRE
être	Vun	ÊTRE
trompé	Ge	TROMPER
par	S	PAR
sa	Ds	SON
sœur	Nc	sœur
.	Fs	.
Mainalte	Vvc	Mainalte
en	S	EN
sortant	Ga	SORTIR
entend	Vvc	ENTENDRE
venir	Vvn	VENIR
Flaminie	Vvc	Flaminie
