Eh	I	EH
à	S	À
être	Vun	ÊTRE
suivi	Ge	SUIVRE
des	S+Da	DE+LE|DE+LES
autres	Pi	AUTRE
.	Fs	.
Voulez	Vvc	VOULOIR
-vous	Nc	-vous
que	Pr	QUE
nous	Pp	NOUS
parvenions	Vvc	PARVENIR
bientôt	Rg	BIENTÔT
.	Fs	.
À	Vvc	À
les	Pp	ILS
connaître	Vvn	CONNAÎTRE
?	Fs	?
Retirons-nous	Vvc	Retirons-nous
au	S+Da	À+LE
fond	Nc	FOND
de	S	DE
cette	Dd	CE
salle	Nc	SALLE|SALÉ
,	Fw	,
et	Cc	ET
observons	Vvc	OBSERVER
-les	Vvn	-les
pendant	S	PENDANT
quelques	Di	QUELQUE
minutes	Nc	MINUTE
.	Fs	.
Ces	Dd	CE
sortes	Nc	SORTE
de	S	DE
gens	Nc	GENS|GENT
là	Rg	LÀ
se	Pp	IL
décèlent	Vvc	DÉCELER
vite	Rg	VITE
par	S	PAR
des	Dn	UN
manières	Nc	MANIÈRE
de	S	DE
parler	Vvn	PARLER
analogues	Ag	ANALOGUE
à	S	À
leur	Ds	LEUR
profession	Nc	PROFESSION
.	Fs	.
