	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0237	tc0237	CORNEILLET_THEODAT	CORNEILLET	1673	tragedie	other	tragedie	other	vers	histoire médiévale	Cinq actes	1
tc0238	tc0238	CORNEILLET_TIMOCRATE	CORNEILLET	1662	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0242	tc0242	CREBILLON_ATREETHYESTE	CREBILLON	1707	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0243	tc0243	CREBILLON_CATILINA	CREBILLON	1749	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0244	tc0244	CREBILLON_ELECTRE	CREBILLON	1708	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0245	tc0245	CREBILLON_IDOMENEE	CREBILLON	1703	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0246	tc0246	CREBILLON_PYRRHUS	CREBILLON	1708	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0248	tc0248	CREBILLON_TRIUMVIRAT	CREBILLON	1754	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0249	tc0249	CREBILLON_XERXES	CREBILLON	1749	tragedie	other	tragedie	other	vers	histoire perse	Cinq actes	1
tc0252	tc0252	CUBIERES-PALMEZEAUX_DILIGENCEDELYON	CUBIERES-PALMEZEAUX	1786	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0255	tc0255	CUBIERES-PALMEZEAUX_LACRYMANIE	CUBIERES-PALMEZEAUX	1775	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0256	tc0256	CUBIERES-PALMEZEAUX_MORTDEMOLIERE3A	CUBIERES-PALMEZEAUX	1788	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0259	tc0259	CYRANO_LAMORTDAGRIPPINE	CYRANO	1654	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0260	tc0260	CYRANO_PEDANTJOUE	CYRANO	1654	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0262	tc0262	DANCOURT_AGIOTEURS	DANCOURT	1710	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0265	tc0265	DANCOURT_BOURGEOISESALAMODE	DANCOURT	1692	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0266	tc0266	DANCOURT_CEPHALEPROCRIS	DANCOURT	1711	comedie	comedie	other	other	mixte	moeurs françaises	Cinq actes	1
tc0270	tc0270	DANCOURT_COMEDIECOMEDIENS	DANCOURT	1710	comedie	comedie	other	other	mixte	moeurs françaises	Cinq actes	1
tc0278	tc0278	DANCOURT_ENFANTSDEPARIS	DANCOURT	1699	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0280	tc0280	DANCOURT_FEES	DANCOURT	1699	comedie	comedie	other	other	mixte	féérie	Trois actes	1
tc0281	tc0281	DANCOURT_FEMMEDINTRIGUES	DANCOURT	1692	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0282	tc0282	DANCOURT_FETEDEVILLAGE	DANCOURT	1700	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0287	tc0287	DANCOURT_FONDSPERDUS	DANCOURT	1686	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0290	tc0290	DANCOURT_IMPROMPTUDEGARNISON	DANCOURT	1692	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0295	tc0295	DANCOURT_MADAMEARTUS	DANCOURT	1707	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0299	tc0299	DANCOURT_MOULINDEJAVELLE	DANCOURT	1692	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0304	tc0304	DANCOURT_RENAUDARMIDE	DANCOURT	1692	comedie	comedie	other	other	mixte	moeurs françaises	Cinq actes	1
tc0306	tc0306	DANCOURT_SANCHO	DANCOURT	1712	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0307	tc0307	DANCOURT_TRAHISONPUNIE	DANCOURT	1707	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0313	tc0313	DECAUX_MARIUS	DECAUX	1702	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0317	tc0317	DESFONTAINES_PERSIDE	DESFONTAINES	1644	tragedie	other	tragedie	other	vers	histoire ottomane	Cinq actes	1
tc0318	tc0318	DESFONTAINES_SAINTGENEST	DESFONTAINES	1645	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0319	tc0319	DESFONTAINES_VERITABLESEMIRAMIS	DESFONTAINES	1647	tragedie	other	tragedie	other	vers	histoire balylonienne	Cinq actes	1
tc0320	tc0320	DESHOULIERES_GENSERIC	DESHOULIERES	1680	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0324	tc0324	DESMARETS_VISIONNAIRES	DESMARETS	1639	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0328	tc0328	DIDEROT_PEREDEFAMILLE	DIDEROT	1758	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0329	tc0329	DIDEROT_PIECEPROLOGUE	DIDEROT	1771	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0330	tc0330	DISCRET_NOCESDEVAUGIRARD	DISCRET	1688	comedie	comedie	other	other	vers	pastorale	Cinq actes	1
tc0335	tc0335	DORAT_CELIBATAIRE	DORAT	1776	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0336	tc0336	DORAT_REGULUS	DORAT	1765	tragedie	other	tragedie	other	vers	histoire romaine	Trois actes	1
tc0348	tc0348	DUCHE_ABSALON	DUCHE	1702	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0356	tc0356	DUFRESNY_COQUETTEDUVILLAGE	DUFRESNY	1715	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
