Enfin	Rg	ENFIN
veux	Vvc	VOULOIR
-tu	Vvn	-tu
que	Cs	QUE
j'	Pp	JE
attende	Vvc	ATTENDRE
De	Vvc	De
ces	Dd	CE
injustes	Ag	INJUSTE
dieux	Nc	DIEU|DIEUX
,	Fw	,
de	S	DE
la	Da	LE
vertu	Nc	VERTU
jaloux	Ag	JALOUX
,	Fw	,
Qui	Vvc	Qui
n'	Rp	NE
ont	Vuc	AVOIR
pu	Ge	POUVOIR
préserver	Vvn	PRÉSERVER
mes	Ds	MON
fils	Nc	FIL|FILS
ni	Cc	NI
mon	Ds	MON
époux	Nc	ÉPOUX
,	Fw	,
Et	Vvc	Et
qui	Pr	QUI
,	Fw	,
m'	Pp	JE
abandonnant	Ga	ABANDONNER
en	S	EN
prenant	Ga	PRENDRE
leur	Ds	LEUR
défense	Nc	DÉFENSE
,	Fw	,
N'	Vvc	N'
ont	Vuc	AVOIR
pas	Rg	PAS
justifié	Ge	JUSTIFIER
l'	Da	LE
ardeur	Nc	ARDEUR
de	S	DE
ma	Ds	MON
vengeance	Nc	VENGEANCE
?	Fs	?
Que	Pt	QUE
veux	Vvc	VOULOIR
-tu	Vvn	-tu
que	Cs	QUE
j'	Pp	JE
attende	Vvc	ATTENDRE
?	Fs	?
Hélas	Vvc	Hélas
!	Fs	!
Parle	Vvc	PARLER
,	Fw	,
dis	Vvc	DIRE
-moi	Vvc	-moi
,	Fw	,
Ne	Vvc	Ne
suis	Vuc	ÊTRE
-je	Ge	-je
pas	Rg	PAS
plus	Rg	PLUS
prompte	Ag	PROMPT
à	S	À
me	Pp	JE
flatter	Vvn	FLATTER
que	Cs	QUE
toi	Pp	TU
?	Fs	?
J'	Pp	JE
irai	Vvc	ALLER
(	Fw	(
voilà	S	VOILÀ
le	Da	LE
sort	Nc	SORT
où	Pr	OÙ
je	Pp	JE
suis	Vuc	ÊTRE
destinée	Ge	DESTINER
)	Fw	)
,	Fw	,
J'	Vvc	J'
irai	Vvc	ALLER
,	Fw	,
traînant	Ga	TRAÎNER
ma	Ds	MON
honte	Nc	HONTE
,	Fw	,
à	S	À
ce	Dd	CE
char	Nc	CHAR
enchaînée	Ge	ENCHAÎNER
,	Fw	,
Au	Vvc	Au
milieu	Nc	MILIEU
des	S+Da	DE+LE|DE+LES
faisceaux	Nc	FAISCEAUX
,	Fw	,
parmi	S	PARMI
les	Da	LE
étendards	Nc	ÉTENDARD
,	Fw	,
De	Vvc	De
l'	Da	LE
orgueilleux	Nc	ORGUEILLEUX
Romain	Ag	ROMAIN
rassembler	Vvn	RASSEMBLER
les	Da	LE
regards	Nc	REGARD
!	Fs	!
Spectacle	Nc	SPECTACLE
d'	S	DE
infamie	Nc	INFAMIE
,	Fw	,
esclave	Nc	ESCLAVE
confondue	Ge	CONFONDRE
,	Fw	,
Des	Vvc	Des
rayons	Nc	RAYON|RAYONS
du	S+Da	DE+LE
soleil	Nc	SOLEIL
je	Pp	JE
soutiendrai	Vvc	SOUTENIR
la	Da	LE
vue	Nc	VUE
!	Fs	!
J'	Pp	JE
entends	Vvc	ENTENDRE
déjà	Rg	DÉJÀ
les	Da	LE
cris	Nc	CRI
d'	S	DE
un	Dn	UN
peuple	Nc	PEUPLE
injurieux	Ag	INJURIEUX
,	Fw	,
Qui	Vvc	Qui
va	Vvc	ALLER
m'	Pp	JE
anéantir	Vvn	ANÉANTIR
de	S	DE
la	Da	LE
voix	Nc	VOIX
et	Cc	ET
des	S+Da	DE+LE|DE+LES
yeux	Nc	OEIL|YEUX
.	Fs	.
